edge_id,route_id,source,target,geom,length_m,kind,route_name,route_ref,sign_type,sign_num,state,fclass,aadt,aadt_com,through_lanes
912,328374,174129,174182,"LINESTRING(-97.4249069998021 44.5872279998291,-97.4228809996974 44.5872300003726)",160.8866295695152,truck_route,S 28,S 28,S,28,SD,4,1125,163,2
913,328376,174182,174242,"LINESTRING(-97.4228809996974 44.5872300003726,-97.4208539997678 44.5872320002762)",160.96602086438185,truck_route,S 28,S 28,S,28,SD,4,1125,163,2
914,328380,174300,174360,"LINESTRING(-97.4188269998382 44.5872340001797,-97.4167999999086 44.587236000723)",160.96600992203338,truck_route,S 28,S 28,S,28,SD,4,1125,163,2
915,328392,177617,177702,"LINESTRING(-97.321551999541 44.5870300000663,-97.3205120001737 44.5870259996054,-97.3195249996114 44.5870239996946)",160.9679432077926,truck_route,S 28,S 28,S,28,SD,4,1125,163,2
916,328410,176872,176946,"LINESTRING(-97.3377639996781 44.5871069997699,-97.3357380004717 44.5870940003672)",160.89324397229572,truck_route,S 28,S 28,S,28,SD,4,1125,163,2
917,328413,176425,176471,"LINESTRING(-97.3519490007839 44.5870749999553,-97.350936999209 44.5870800003673,-97.3499239996058 44.5870849994994)",160.8114002505191,truck_route,S 28,S 28,S,28,SD,4,1125,163,2
918,328416,176721,176782,"LINESTRING(-97.3438439996419 44.5871140000868,-97.3418169997123 44.5871219997169)",160.96863392929345,truck_route,S 28,S 28,S,28,SD,4,1125,163,2
919,328419,177199,177274,"LINESTRING(-97.3337110005421 44.5870819996363,-97.3316850004374 44.587069000228)",160.89338426368158,truck_route,S 28,S 28,S,28,SD,4,1125,163,2
920,328420,176946,177199,"LINESTRING(-97.3357380004717 44.5870940003672,-97.3337110005421 44.5870819996363)",160.9717861299615,truck_route,S 28,S 28,S,28,SD,4,1125,163,2
921,328426,178077,178132,"LINESTRING(-97.3053390004773 44.5870439994384,-97.3033129994743 44.587060000636)",160.89686103960028,truck_route,S 28,S 28,S,28,SD,4,1125,163,2
922,328430,177825,177882,"LINESTRING(-97.3154720004755 44.5870170000066,-97.3134460003708 44.58701400014)",160.88741025289008,truck_route,S 28,S 28,S,28,SD,4,1125,163,2
923,328431,177983,178037,"LINESTRING(-97.3093920005116 44.5870150000956,-97.3073660004069 44.587029000111)",160.8945685489153,truck_route,S 28,S 28,S,28,SD,4,1125,163,2
